Name,Join name to ingredient,ID,Default_unit,Alternative name,Portions,Stocks,Join to units,Shopping portion1,Shopping portion2,Shopping portion3,Shopping portion4 (Manual entry),Shopping link
American cheese,American cheese,1,,,53,,gram,110,160,180,,https://www.ocado.com/search?entry=american%20cheese
Anchovy,Anchovy,2,,,41,,gram,50,80,100,,https://www.ocado.com/search?entry=anchovy
Salmon,Salmon,89,,,"45,116,196",,gram,260,450,500,,https://www.ocado.com/search?entry=salmon
Dried mustard,Dried mustard,34,,,147,,gram,57,108,,,https://www.ocado.com/search?entry=Dried%20mustard
Red potatoes,Red potatoes,84,,,"118,133,192",,gram,1000,1500,1500,,https://www.ocado.com/search?entry=red%20potatoes
Paprika,Paprika,129,,,226,,gram,35,40,75,,https://www.ocado.com/search?entry=Paprika
Parmiggiano Cheese,Parmiggiano Cheese,72,,Parmesan,"8,30,112",,gram,150,200,250,,https://www.ocado.com/search?entry=Parmiggiano%20Cheese
Spaghetti,Spaghetti,95,,,22,,gram,400,500,,,https://www.ocado.com/search?entry=spaghetti
Flour,Flour,43,,,"47,62",,gram,500,1000,1500,,https://www.ocado.com/search?entry=flour
Poultry seasoning,Poultry seasoning,81,,,77,,gram,56,100,,,https://www.ocado.com/products/schwartz-perfect-shake-chicken-seasoning-jar-316629011
Macaroni,Macaroni,63,,,56,,gram,250,500,1000,,https://www.ocado.com/search?entry=macaroni
Egg noodles,Egg noodles,39,,,"86,189",,gram,250,275,340,,https://www.ocado.com/search?entry=egg%20noodles
Chili powder,Chili powder,29,,,"144,225",,gram,26,38,45,,https://www.ocado.com/search?entry=chilli%20powder
Onion powder,Onion powder,70,,,"136,149,179",,gram,25,30,42,,https://www.ocado.com/search?entry=Onion%20powder
Bacon,Bacon,8,,,46,,gram,200,250,300,,https://www.ocado.com/search?entry=bacon
Spinach,Spinach,96,,,23,,gram,125,200,400,,https://www.ocado.com/search?entry=spinach
Garlic powder,Garlic powder,48,,,"68,135,148,158,181,200",,gram,47,52,100,,https://www.ocado.com/search?entry=garlic%20powder
Bread,Bread,14,,brown bread,39,1,gram,400,500,800,,https://www.ocado.com/search?entry=bread
Sea salt,Sea salt,91,,Salt,"21,191",,gram,60,100,250,,https://www.ocado.com/search?entry=salt
Strawberries,Strawberries,97,,,206,,gram,300,400,500,,https://www.ocado.com/search?entry=strawberries
Baking soda,Baking soda,9,,,63,,gram,42,200,500,,https://www.ocado.com/search?entry=baking%20soda
Chicken stock,Chicken stock,27,,,218,,gram,300,400,500,,https://www.ocado.com/search?entry=chicken%20stock
Chicken wing,Chicken wing,28,,,139,,gram,400,500,900,,https://www.ocado.com/search?entry=chicken%20wing
Potato,Potato,80,,,65,,gram,600,1000,1500,,https://www.ocado.com/search?entry=potato
Ground dry mustard,Ground dry mustard,51,,Dried mustard,50,,gram,57,108,,,https://www.ocado.com/search?entry=Dried%20mustard
Bay leaves,Bay leaves,11,,,"85,98",,gram,4,5,6,,https://www.ocado.com/search?entry=bay%20leaves
Pea Sprouts,Pea Sprouts,76,,Pea,104,,gram,380,,,,https://www.ocado.com/search?entry=pea
Cornstarch,Cornstarch,32,,Corn Flour,186,,gram,250,400,500,,https://www.ocado.com/search?entry=Corn%20flour
Mushrooms,Mushrooms,67,,,176,,gram,150,250,300,,https://www.ocado.com/search?entry=mushrooms
Ground pork,Ground pork,53,,,"6,89",,gram,450,500,850,,https://www.ocado.com/search?entry=ground%20pork
Walnuts,Walnuts,106,,,25,,gram,125,200,400,,https://www.ocado.com/search?entry=walnut
Feta cheese,Feta cheese,117,,,129,,gram,180,200,300,,https://www.ocado.com/search?entry=feta%20cheese
Coriander,Coriander,116,,,124,,gram,28,36,100,,https://www.ocado.com/search?entry=Coriander
Tomato,Tomato,100,,,"3,24,35,101,103,109,164",,gram,200,300,400,,https://www.ocado.com/search?entry=tomato
Corn flour,Corn flour,121,,,170,,gram,250,400,500,,https://www.ocado.com/search?entry=Corn%20flour
Seasoning salt,Seasoning salt,123,,Salt,178,,gram,60,100,250,,https://www.ocado.com/search?entry=salt
Basil,Basil,10,,,"37,110",,gram,25,30,100,,https://www.ocado.com/search?entry=basil
Porcini mushrooms,Porcini mushrooms,78,,,100,,gram,25,30,40,,https://www.ocado.com/search?entry=Porcini%20mushrooms
Dried basil,Dried basil,112,,,16,,gram,8,10,15,,https://www.ocado.com/search?entry=dried%20basil
Ground beef,Ground beef,50,,,"87,174",,gram,250,400,500,,https://www.ocado.com/search?entry=ground%20beef
Wholegrain Mustard,Wholegrain Mustard,109,,Mustard,166,,gram,140,170,210,,https://www.ocado.com/search?entry=Wholegrain%20Mustard
Vanilla,Vanilla,103,,,60,,gram,7,14,,,https://www.ocado.com/search?entry=Vanilla
Chicken breast,Chicken breast,119,,,161,,gram,320,500,600,,https://www.ocado.com/search?entry=chicken%20breast
Fresh ginger,Fresh ginger,44,,,211,,gram,75,125,140,,https://www.ocado.com/search?entry=fresh%20ginger
Salt,Salt,90,teaspoon,,"4,13,49,69,78,83,96,114,125,132,134,141,159,172,177,219,222",,gram,60,100,250,,https://www.ocado.com/search?entry=salt
Butter,Butter,17,,,"57,66,74",,gram,125,250,500,,https://www.ocado.com/search?entry=butter
Chives,Chives,30,,,55,,gram,6,25,100,,https://www.ocado.com/search?entry=Chives
Frozen peas,Frozen peas,46,,,"119,190",,gram,380,500,1000,,https://www.ocado.com/search?entry=frozen%20peas
Fresh thyme,Fresh thyme,45,,,"183,213",,gram,20,30,,,https://www.ocado.com/search?entry=fresh%20thyme
White Pepper,White Pepper,118,,,160,,gram,34,42,50,,https://www.ocado.com/search?entry=white%20pepper
Smokey paprika,Smokey paprika,93,,Paprika,"75,145",,gram,35,40,75,,https://www.ocado.com/search?entry=Paprika
Cumin,Cumin,33,,,146,,gram,28,35,41,,https://www.ocado.com/search?entry=cumin
Radishes,Radishes,82,,,121,,gram,150,200,300,,https://www.ocado.com/search?entry=radishes
Baby bets,Baby bets,7,,Beetroot,127,,gram,200,250,340,,https://www.ocado.com/search?entry=baby%20beets
Ground pepper,Ground pepper,52,,black pepper,"15,180",,gram,25,33,45,,https://www.ocado.com/search?entry=ground%20pepper
Mint,Mint,124,,,198,,gram,25,30,100,,https://www.ocado.com/search?entry=mint
Dried rosemary,Dried rosemary,113,,,17,,gram,18,23,25,,https://www.ocado.com/search?entry=Dried%20rosemary
Ground veal,Ground veal,54,,Ground beef,88,,gram,250,400,500,,https://www.ocado.com/search?entry=Ground%20veal
Pastry crust,Pastry crust,75,,,201,,gram,117,156,230,,https://www.ocado.com/search?entry=Pastry%20crust
Ricotta,Ricotta,87,,,7,,gram,150,200,250,,https://www.ocado.com/search?entry=Ricotta
Chicken leg,Chicken leg,26,,,76,,gram,500,550,1000,,https://www.ocado.com/search?entry=chicken%20leg
Breadcrumb,Breadcrumb,15,,,9,,gram,1245,180,200,,https://www.ocado.com/search?entry=breadcrumbs
Chicken thigh,Chicken thigh,127,,,221,,gram,360,500,1000,,https://www.ocado.com/search?entry=chicken%20thigh
Mozzarella,Mozzarella,66,,,"36,111",,gram,125,250,400,,https://www.ocado.com/search?entry=mozarella
Tomato paste,Tomato paste,101,,,102,,gram,100,140,200,,https://www.ocado.com/search?entry=Tomato%20paste
Thyme,Thyme,99,,Dried thyme,,,gram,10,11,16,,https://www.ocado.com/search?entry=Dried%20thyme
Shallots,Shallots,92,,,195,,gram,400,500,1000,,https://www.ocado.com/search?entry=shallots
Dried oregano,Dried oregano,35,,,151,,gram,3,7,13,,https://www.ocado.com/search?entry=Dried%20oregano
Arugula salad,Arugula salad,4,,rocket,120,,gram,70,90,110,,https://www.ocado.com/search?entry=Arugula%20salad
Red Onion,Red Onion,83,,,105,,gram,500,750,1000,,https://www.ocado.com/search?entry=Red%20Onion
Brown sugar,Brown sugar,16,,,"143,203",,gram,250,500,1000,,https://www.ocado.com/search?entry=brown%20sugar
Sugar,Sugar,98,,,"58,99",,gram,100,500,1000,,https://www.ocado.com/search?entry=sugar
Cheddar cheese,Cheddar cheese,25,,,"54,71",300,gram,250,350,550,,https://www.ocado.com/search?entry=Cheddar%20cheese
Carrot,Carrot,22,,,"80,91,212",,gram,300,500,1200,,https://www.ocado.com/search?entry=carrot
Blue cheese,Blue cheese,13,,,152,,gram,150,200,250,,https://www.ocado.com/search?entry=blue%20cheese
Parsley,Parsley,73,,,"11,42",,gram,25,50,100,,https://www.ocado.com/search?entry=parsley
Unsalted butter,Unsalted butter,102,,Butter,95,,gram,200,250,500,,https://www.ocado.com/search?entry=unsalted%20butter
Pancetta,Pancetta,71,,,27,,gram,95,120,200,,https://www.ocado.com/search?entry=Pancetta
Pasta,Pasta,74,,,26,,gram,400,500,,,https://www.ocado.com/search?entry=Pasta
Salad,Salad,125,,,199,,gram,110,125,150,,https://www.ocado.com/search?entry=salad
Rosemary,Rosemary,88,,,,,gram,20,25,30,,https://www.ocado.com/search?entry=Rosemary
Asparagus,Asparagus,5,,,28,,gram,160,250,350,,https://www.ocado.com/search?entry=asparagus
Red peper flakes,Red peper flakes,128,,,224,,gram,28,32,75,,https://www.ocado.com/search?entry=Chilli%20Flakes
Dried parsley,Dried parsley,36,,,182,,gram,6,5,11,,https://www.ocado.com/search?entry=dried%20parsley
Honey,Honey,131,,,228,,gram,227,300,340,,https://www.ocado.com/search?entry=honey
Cayenne pepper,Cayenne pepper,23,,Chili powder,150,,gram,26,36,100,,https://www.ocado.com/search?entry=cayenne%20pepper
Dried thyme,Dried thyme,114,,,18,,gram,10,11,16,,https://www.ocado.com/search?entry=Dried%20thyme
Pork shoulder,Pork shoulder,79,,,208,,gram,340,500,1070,,https://www.ocado.com/search?entry=pork%20shoulder
