Ingredient,Join name to ingredient,Join to units,Shopping portion1,Shopping portion2,Shopping portion3
American cheese,American cheese,gram,110,160,180
Anchovy,Anchovy,gram,50,80,100
Salmon,Salmon,gram,260,450,500
Dried mustard,Dried mustard,gram,57,108,
Red potatoes,Red potatoes,gram,1000,1500,1500
Paprika,Paprika,gram,35,40,75
Parmiggiano Cheese,Parmiggiano Cheese,gram,150,200,250
Spaghetti,Spaghetti,gram,400,500,
Flour,Flour,gram,500,1000,1500
Poultry seasoning,Poultry seasoning,gram,56,100,
Macaroni,Macaroni,gram,250,500,1000
Egg noodles,Egg noodles,gram,250,275,340
Chili powder,Chili powder,gram,26,38,45
Onion powder,Onion powder,gram,25,30,42
Bacon,Bacon,gram,200,250,300
Spinach,Spinach,gram,125,200,400
Garlic powder,Garlic powder,gram,47,52,100
Bread,Bread,gram,400,500,800
Sea salt,Sea salt,gram,60,100,250
Strawberries,Strawberries,gram,300,400,500
Baking soda,Baking soda,gram,42,200,500
Chicken stock,Chicken stock,gram,300,400,500
Chicken wing,Chicken wing,gram,400,500,900
Potato,Potato,gram,600,1000,1500
Ground dry mustard,Ground dry mustard,gram,57,108,
Bay leaves,Bay leaves,gram,4,5,6
Pea Sprouts,Pea Sprouts,gram,380,,
Cornstarch,Cornstarch,gram,250,400,500
Mushrooms,Mushrooms,gram,150,250,300
Ground pork,Ground pork,gram,450,500,850
Walnuts,Walnuts,gram,125,200,400
Feta cheese,Feta cheese,gram,180,200,300
Coriander,Coriander,gram,28,36,100
Tomato,Tomato,gram,200,300,400
Corn flour,Corn flour,gram,250,400,500
Seasoning salt,Seasoning salt,gram,60,100,250
Basil,Basil,gram,25,30,100
Porcini mushrooms,Porcini mushrooms,gram,25,30,40
Dried basil,Dried basil,gram,8,10,15
Ground beef,Ground beef,gram,250,400,500
Wholegrain Mustard,Wholegrain Mustard,gram,140,170,210
Vanilla,Vanilla,gram,7,14,
Chicken breast,Chicken breast,gram,320,500,600
Fresh ginger,Fresh ginger,gram,75,125,140
Salt,Salt,gram,60,100,250
Butter,Butter,gram,125,250,500
Chives,Chives,gram,6,25,100
Frozen peas,Frozen peas,gram,380,500,1000
Fresh thyme,Fresh thyme,gram,20,30,
White Pepper,White Pepper,gram,34,42,50
Smokey paprika,Smokey paprika,gram,35,40,75
Cumin,Cumin,gram,28,35,41
Radishes,Radishes,gram,150,200,300
Baby bets,Baby bets,gram,200,250,340
Ground pepper,Ground pepper,gram,25,33,45
Mint,Mint,gram,25,30,100
Dried rosemary,Dried rosemary,gram,18,23,25
Ground veal,Ground veal,gram,250,400,500
Pastry crust,Pastry crust,gram,117,156,230
Ricotta,Ricotta,gram,150,200,250
Chicken leg,Chicken leg,gram,500,550,1000
Breadcrumb,Breadcrumb,gram,1245,180,200
Chicken thigh,Chicken thigh,gram,360,500,1000
Mozzarella,Mozzarella,gram,125,250,400
Tomato paste,Tomato paste,gram,100,140,200
Thyme,Thyme,gram,10,11,16
Shallots,Shallots,gram,400,500,1000
Dried oregano,Dried oregano,gram,3,7,13
Arugula salad,Arugula salad,gram,70,90,110
Red Onion,Red Onion,gram,500,750,1000
Brown sugar,Brown sugar,gram,250,500,1000
Sugar,Sugar,gram,100,500,1000
Cheddar cheese,Cheddar cheese,gram,250,350,550
Carrot,Carrot,gram,300,500,1200
Blue cheese,Blue cheese,gram,150,200,250
Parsley,Parsley,gram,25,50,100
Unsalted butter,Unsalted butter,gram,200,250,500
Pancetta,Pancetta,gram,95,120,200
Pasta,Pasta,gram,400,500,
Salad,Salad,gram,110,125,150
Rosemary,Rosemary,gram,20,25,30
Asparagus,Asparagus,gram,160,250,350
Red Pepper flakes,Red Pepper flakes,gram,28,32,75
Dried parsley,Dried parsley,gram,6,5,11
Honey,Honey,gram,227,300,340
Cayenne pepper,Cayenne pepper,gram,26,36,100
Dried thyme,Dried thyme,gram,10,11,16
Pork shoulder,Pork shoulder,gram,340,500,1070
Greek yogurt,Greek yogurt,gram,170,450,500
Chocolate milk,Chocolate milk,millilitre,330,750,1000
Apple cider vingear,Apple cider vingear,millilitre,350,500,1000
Vanilla extract,Vanilla extract,millilitre,35,38,95
Hot sauce,Hot sauce,millilitre,150,220,250
Camelina Oil,Camelina Oil,millilitre,250,500,1000
Dry sherry,Dry sherry,millilitre,750,,
Heavy whipping cream,Heavy whipping cream,millilitre,227,300,
Water,Water,millilitre,500,1500,2000
Beef broth,Beef broth,millilitre,300,400,500
Lemon juice,Lemon juice,millilitre,200,230,250
Heavy cream,Heavy cream,millilitre,227,300,
Oyster sauce,Oyster sauce,millilitre,150,240,510
Japanese Goma Dressing,Japanese Goma Dressing,millilitre,150,1000,
Sour cream,Sour cream,millilitre,150,200,300
Japanese Wafu Dressing,Japanese Wafu Dressing,millilitre,150,,
Worcestershire sauce,Worcestershire sauce,millilitre,150,290,
Olive oil,Olive oil,millilitre,250,500,750
Vegetable oil,Vegetable oil,millilitre,250,1000,2000
Mayonnaise,Mayonnaise,millilitre,250,420,600
Red wine vinegar,Red wine vinegar,millilitre,250,350,500
Milk,Milk,millilitre,568,1000,2000
White wine vinegar,White wine vinegar,millilitre,250,350,500
White wine,White wine,millilitre,750,,
