Name,Id,Default_unit,Alternative name,Portions,Stocks,shopping list info,Pasted field 1,Pasted field 2,Pasted field 3,Pasted field 4,Pasted field 5,Default ingredient units
American cheese,2,,,53,,gr,110,160,180,,https://www.ocado.com/search?entry=american%20cheese,American cheese
Anchovy,3,,,41,,gr,50,80,100,,https://www.ocado.com/search?entry=anchovy,Anchovy
Apple,132,,,"205,240",,pcs,4,6,7,,https://www.ocado.com/search?entry=apples,Apple
Apple cider vingear,4,,,229,,ml,350,500,1000,,https://www.ocado.com/search?entry=apple%20cider%20vinegar,Apple cider vingear
Arugula salad,5,,rocket,120,,gr,70,90,110,,https://www.ocado.com/search?entry=Arugula%20salad,Arugula salad
Asparagus,6,,,28,,gr,160,250,350,,https://www.ocado.com/search?entry=asparagus,Asparagus
Avocado,7,,,34,,pcs,1,2,3,,https://www.ocado.com/search?entry=avocado,Avocado
Baby bets,8,,Beetroot,127,,gr,200,250,340,,https://www.ocado.com/search?entry=baby%20beets,Baby bets
Bacon,9,,,46,,gr,200,250,300,,https://www.ocado.com/search?entry=bacon,Bacon
Baking soda,10,,,"63,257",,gr,42,200,500,,https://www.ocado.com/search?entry=baking%20soda,"Baking soda,Baking Soda"
Basil,11,,,"110,37,245",,gr,25,30,100,,https://www.ocado.com/search?entry=basil,Basil
Bay leaves,12,,,"98,85",,gr,4,5,6,,https://www.ocado.com/search?entry=bay%20leaves,Bay leaves
Beef broth,13,,,185,,ml,300,400,500,,https://www.ocado.com/search?entry=beef%20broth,Beef broth
Beef Mince,137,,,243,,,,,,,,Beef Mince
Bell Pepper (Green),139,,Capsicum,162,,pcs,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper,Bell Pepper (Green)
Bell Pepper (Orange),138,,Capsicum,162,,pcs,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper,Bell Pepper (Orange)
Bell Pepper (Red),22,,Capsicum,"162,233",,pcs,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper,Bell Pepper (Red)
Bell Pepper (Yellow),140,,Capsicum,"162,234",,pcs,2,3,4,,https://www.ocado.com/search?entry=bell%20pepper,Bell Pepper (Yellow)
Bicarbonate Soda,151,,,256,,,,,,,,Bicarbonate Soda
Black Treacle,148,,,253,,,,,,,,Black Treacle
Blue cheese,14,,,152,,gr,150,200,250,,https://www.ocado.com/search?entry=blue%20cheese,Blue cheese
Bread,15,,brown bread,39,,gr,400,500,800,,https://www.ocado.com/search?entry=bread,Bread
Breadcrumb,16,,,9,,gr,1245,180,200,,https://www.ocado.com/search?entry=breadcrumbs,Breadcrumb
Brown sugar,17,,,"203,143,254",,gr,250,500,1000,,https://www.ocado.com/search?entry=brown%20sugar,"Brown sugar,Brown Sugar"
Butter,18,,,"74,66,57",,gr,125,250,500,,https://www.ocado.com/search?entry=butter,Butter
Butter Lettuce,19,,Letuce,128,,pcs,1,2,3,,https://www.ocado.com/search?entry=lettuce,Butter Lettuce
Camelina Oil,20,,olive oil,167,,ml,250,500,1000,,https://airtable.com/tblaaBfaytHBG9rOR/viwedf0JFRDUKpie2?blocks=hide,Camelina Oil
Canola oil,21,,vegetable oil,138,,ml,250,1000,2000,,https://airtable.com/tblLsvKFNKQM00gMb/viwBSCa6o3alA6dZA?blocks=hide,Canola oil
Carrot,23,,,"212,91,80,250",,gr,300,500,1200,,https://www.ocado.com/search?entry=carrot,Carrot
Cayenne pepper,24,,Chili powder,150,,gr,26,36,100,,https://www.ocado.com/search?entry=cayenne%20pepper,Cayenne pepper
Celery,25,,,81,,pcs,2,3,4,,https://www.ocado.com/search?entry=celery,Celery
Cheddar cheese,119,,,"71,54",,gr,250,350,550,,https://www.ocado.com/search?entry=Cheddar%20cheese,Cheddar cheese
Chicken (whole),143,,,241,,,,,,,,Chicken (whole)
Chicken breast,26,,,161,,gr,320,500,600,,https://www.ocado.com/search?entry=chicken%20breast,Chicken breast
Chicken leg,27,,,76,,gr,500,550,1000,,https://www.ocado.com/search?entry=chicken%20leg,Chicken leg
Chicken Spice,142,,,239,,,,,,,,Chicken Spice
Chicken stock,127,,,218,,gr,300,400,500,,https://www.ocado.com/search?entry=chicken%20stock,Chicken stock
Chicken thigh,28,,,221,,gr,360,500,1000,,https://www.ocado.com/search?entry=chicken%20thigh,Chicken thigh
Chicken wing,29,,,139,,gr,400,500,900,,https://www.ocado.com/search?entry=chicken%20wing,Chicken wing
Chili powder,30,,,"225,144",,gr,26,38,45,,https://www.ocado.com/search?entry=chilli%20powder,Chili powder
Chilli Con Carne Mix,141,,,230,,,,,,,,Chilli Con Carne Mix
Chives,31,,,55,,gr,6,25,100,,https://www.ocado.com/search?entry=Chives,Chives
Chocolate milk,120,,,64,,ml,330,750,1000,,https://www.ocado.com/search?entry=chocolate%20milk,Chocolate milk
Chopped Tomato,155,,,244,,,,,,,,Chopped Tomato
Coral lettuce,116,,Lettuce,165,,pcs,1,2,3,,https://www.ocado.com/search?entry=lettuce,Coral lettuce
Coriander,121,,,124,,gr,28,36,100,,https://www.ocado.com/search?entry=Coriander,Coriander
Corn flour,32,,,170,,gr,250,400,500,,https://www.ocado.com/search?entry=Corn%20flour,Corn flour
Cornstarch,33,,Corn Flour,186,,gr,250,400,500,,https://www.ocado.com/search?entry=Corn%20flour,Cornstarch
Courgette,156,,,248,,,,,,,,Courgette
Cumin,112,,,"146,231",,gr,28,35,41,,https://www.ocado.com/search?entry=cumin,Cumin
Dried basil,34,,,16,,gr,8,10,15,,https://www.ocado.com/search?entry=dried%20basil,Dried basil
Dried mustard,35,,,147,,gr,57,108,,,https://www.ocado.com/search?entry=Dried%20mustard,Dried mustard
Dried oregano,36,,,"151,247",,gr,3,7,13,,https://www.ocado.com/search?entry=Dried%20oregano,Dried oregano
Dried parsley,113,,,182,,gr,6,5,11,,https://www.ocado.com/search?entry=dried%20parsley,Dried parsley
Dried rosemary,114,,,17,,gr,18,23,25,,https://www.ocado.com/search?entry=Dried%20rosemary,Dried rosemary
Dried thyme,37,,,18,,gr,10,11,16,,https://www.ocado.com/search?entry=Dried%20thyme,Dried thyme
Dry sherry,38,,,184,,ml,750,,,,https://www.ocado.com/search?entry=eggs,Dry sherry
Egg,39,,,"202,72,59,40,10,261",,pcs,6,10,12,,https://www.ocado.com/search?entry=eggs,Egg
Egg noodles,40,,,"189,86",,gr,250,275,340,,https://www.ocado.com/search?entry=egg%20noodles,Egg noodles
Egg yolk,41,,egg,73,,pcs,6,10,12,,https://www.ocado.com/search?entry=eggs,Egg yolk
Egg-white,42,,egg,169,,pcs,6,10,12,,https://www.ocado.com/search?entry=eggs,Egg-white
Eggplant,117,,Aubergine,108,,pcs,1,2,3,,https://www.ocado.com/search?entry=aubergine,Eggplant
Feta cheese,43,,,129,,gr,180,200,300,,https://www.ocado.com/search?entry=feta%20cheese,Feta cheese
Flour,44,,,"62,47",,gr,500,1000,1500,,https://www.ocado.com/search?entry=flour,Flour
Fresh ginger,45,,,211,,gr,75,125,140,,https://www.ocado.com/search?entry=fresh%20ginger,Fresh ginger
Fresh thyme,46,,,"213,183",,gr,20,30,,,https://www.ocado.com/search?entry=fresh%20thyme,Fresh thyme
Frozen peas,47,,,"190,119",,gr,380,500,1000,,https://www.ocado.com/search?entry=frozen%20peas,Frozen peas
Garlic,48,clove,,"209,93,38,33,19,2",,pcs,2,3,4,,https://www.ocado.com/search?entry=garlic%20clove,Garlic
Garlic powder,49,,,"200,181,158,148,135,68",,gr,47,52,100,,https://www.ocado.com/search?entry=garlic%20powder,Garlic powder
gluten,135,,,,,,,,,,,
Gluten-free Self Raising Flour,154,,,260,,,,,,,,Gluten-Free Self Raising Flour
Greek yogurt,50,,,153,,gr,170,450,500,,https://www.ocado.com/search?entry=greek%20yogurt,Greek yogurt
Ground beef,51,,,"174,87",,gr,250,400,500,,https://www.ocado.com/search?entry=ground%20beef,Ground beef
Ground Cinnamon,153,,,259,,,,,,,,
Ground dry mustard,52,,Dried mustard,50,,gr,57,108,,,https://www.ocado.com/search?entry=Dried%20mustard,Ground dry mustard
Ground Ginger,152,,,258,,,,,,,,Ground Ginger
Ground pepper,53,,black pepper,"180,15",,gr,25,33,45,,https://www.ocado.com/search?entry=ground%20pepper,Ground pepper
Ground pork,54,,,"89,6",,gr,450,500,850,,https://www.ocado.com/search?entry=ground%20pork,Ground pork
Ground veal,55,,Ground beef,88,,gr,250,400,500,,https://www.ocado.com/search?entry=Ground%20veal,Ground veal
Heavy cream,56,,Double cream,"67,252",,ml,227,300,,,https://www.ocado.com/search?entry=heavy%20cream,Heavy cream
Heavy whipping cream,131,,Double cream,207,,ml,227,300,,,https://www.ocado.com/search?entry=whipping%20cream,Heavy whipping cream
Honey,57,,,228,,gr,227,300,340,,https://www.ocado.com/search?entry=honey,Honey
Hot sauce,58,,,51,,ml,150,220,250,,https://www.ocado.com/search?entry=hot%20sauce,Hot sauce
Japanese Goma Dressing,59,,Goma sauce,106,,ml,150,1000,,,https://www.sushisushi.co.uk/products/mccormick-sesame-goma-dressing-150ml?utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&gclid=CjwKCAjwm4rqBRBUEiwAwaWjjPXb-TM-sQh8dZoMGKpxCmXaB60e7DkEGuaWgvyyRPiHmoC1gxX_0RoCuicQAvD_BwE,Japanese Goma Dressing
Japanese Wafu Dressing,126,,Wadu Dressing,107,,ml,150,,,,https://starrymart.co.uk/mccormick-wafu-yuzu-dressing-150ml.html?ff=2&fp=2114&gclid=CjwKCAjwm4rqBRBUEiwAwaWjjH2R8G9Aoos6CFNv7w-KzPabIMYzUB_TYfPJYYbGZIdhc782Q4aHShoCFFoQAvD_BwE,Japanese Wafu Dressing
Lemon,60,,,200,,pcs,1,2,3,,https://www.ocado.com/search?entry=lemon,Lemon
