Step number,Step content,Recipes
0,PREPARING THE TOMATO SAUCE,1
1,"In a saucepan over medium high heat, add the olive oil and the garlic. As soon as the garlic is golden, remove and discard.",1
2,"Add the tomatoes, salt and pepper and cook over medium low heat for about 25-30 minutes.",1
3,PREPARING THE MEATBALLS,1
4,Preheat the oven at 375°F,1
5,Mix all the ingredients by hand or in the KitchenAid mixer with the paddle. Roll out 12 meatballs.,1
6,Place them on greased baking sheet and bake for about 20 minutes or golden brown.,1
7,Can be served alongside any pasta of choice. Cook pasta according to manufacturer directions. Mix the meatballs with the tomato sauce and pasta. Serve hot with freshly grated Parmiggiano cheese over it.,1
0,Preheat a big pot of water for the spaghetti and boil them until al dente.,2
1,Use a big skillet and fry the garlic with olive oil for about one minute until you add the tomatoes.,2
2,"After 5 minutes add the spinach and let it simmer for another 5-7 minutes before you add the herbs, salt and pepper.",2
3,Add some sauce to the noodles and sprinkle some walnuts on top.,2
0,"Sauté pancetta in a large pan over medium-high heat, stirring occasionally, until crispy. Remove pancetta with a slotted spoon and set aside.",3
1,"Add asparagus to the pan and sauté in the pancetta grease for about 5-6 minutes, stirring occasionally, until almost cooked.",3
2,Slowly add the white wine to deglaze the pan. Continue cooking for 5 minutes or until the wine has reduced by about half.,3
3,"Cook the pasta in a large pot according to package instructions. Drain, but reserve ¼ cup of the pasta water for later (if needed).",3
4,"Add the pasta, pancetta and ¼ cup Parmesan cheese to the sauté pan with asparagus, and toss until combined. Sprinkle pasta with the remaining Parmesan cheese and serve immediately.",3
0,"Whisk first 3 ingredients in large bowl to blend. Add avocados, tomatoes, mozzarella and basil to toss. Season with salt and pepper.",4
0,Preheat the oven at 375°. Cover a baking dish with aluminum foil. Place the salmon fillets in the cookie sheet and sprinkle generously with salt and pepper.,5
1,Bake in the oven for 15 to 20 minutes.,5
2,"In a food processor add: garlic, soaked bread, egg yolk, anchovies, capers, parsley, lemon juice, olive oil and puree. Add more olive oil if it is too dry. The sauce needs to be smooth.",5
3,"When salmon is done, place on a serving dish and lightly drizzle olive oil over the salmon.",5
4,Place sauce over the fish and sprinkle with parsley.,5
0,"In a 10-inch cast iron skillet, cook the bacon over medium heat until crisp, about 5 to 6 minutes. Remove the bacon with a slotted spoon, and set aside. Reserve bacon fat in pan.",7
1,Cook pasta per manufacturer directions.,7
2,"Whisk flour into the rendered fat. Cook whisking constantly, 2 minutes. Whisk in the milk, salt, mustard, hot sauce and Worcestershire. Bring to a simmer whisking constantly until thickened, almost 15 minutes.",7
3,"Remove from heat. Add both cheeses and stir until melted and smooth. Stir in bacon, chives and cooked macaroni.",7
0,Preheat oven to 350.,8
1,"Cream together the butter and sugar until light and fluffy, about five minutes. Slowly add in the flour, and mix to combine. Don't over-mix!",8
2,"In a separate bowl, whisk together the eggs, vanilla, and sour cream. Slowly add into batter and mix just until combined. Remove 1/3 of the batter from the bowl, and put into a separate bowl. Mix in the chocolate milk mix until well combined.",8
3,Place the vanilla batter into a tube pan that's been prepared with baking spray. Spread out evenly in the pan. Place spoonfuls of the chocolate batter all around the top of the vanilla batter. Use a butter knife to swirl the chocolate into the vanilla. Tap the pan several times on the counter to distribute batter and eliminate any gaps.,8
4,"Bake for about 30 minutes, or until a toothpick comes out with moist crumbs. Let cool in pan for 10 minutes, and then invert onto serving tray.",8
0,"Peel, cut in half or quarters, and boil potatoes until fork tender. Don't overcook! Drain the potatoes and put back into the pot over low heat to cook off some of the excess moisture.",9
1,"Mash the potatoes with the butter, cream, and seasonings until smooth.",9
2,"Stir in the cheddar cheese until well combined, and then stir in the beaten egg and egg yolk.",9
3,"Place potatoes into a piping bag or a large baggie with the corner snipped off. Using a large star tip if you have it, pipe into a circle stacking upwards as you go onto a baking sheet lined with parchment or non-stick tin-foil.",9
4,"Brush lightly with melted butter, and sprinkle lightly with paprika.",9
5,"Bake at 375 for 25-30, or until the edges are starting to turn gold",9
0,"Season the chicken legs well, and place them into your pot. Cover with water (but don't fill above max fill line! It is okay if a few aren't submerged.)",10
1,"Press the Saute button, then press the ""Adjust"" button to turn up the heat to high. Wait until the water comes to a simmer. Press ""Cancel"" to turn off the saute feature, and then press the ""manual"" button, and put the lid on. Flip the valve to ""seal"" and run for 30 minutes.",10
2,"Once the time expires, let it sit for 10 minutes and then put a towel over the vent and carefully do a QR (quick release. When you let the pressure out fast with the vent instead of letting it dissipate naturally.)",10
3,"Remove the legs from the broth, and set aside. When they are cool enough to handle, remove the meat from the bones and dice.",10
4,"Add the other ingredients to the broth including the meat, seal, and do a 10 minute manual cycle. NPR (Natural Pressure Release, or aka - do nothing. Just wait) for 10 minutes and then QR the lid (carefully! With a towel over so stuff doesn't come spurting out all crazy-like.)",10
5,"Check the noodles for done-ness, check the broth to make sure it is as salty as you like it, and serve!",10
0,"In a heavy large enamel cast iron pot heat the olive oil, butter and the garlic over medium heat. Once the garlic is brown, but not burned, remove and discard.",11
1,"Add the onions and carrots and mix well. When the onions are translucent add the meats (beef, veal and pork) and separate well with the back of a wooden spoon. Add the tomato paste and mix well.",11
2,Cook the meats until all the liquid is evaporate.,11
3,"Add the bay leaves, red wine, chopped porcini mushrooms, half of the strained mushrooms liquid. Mix well.",11
4,"Add the tomatoes, salt, pepper and sugar. Mix well, lower the heat to simmer, cover and cook stirring occasionally for 1 hour to 1 ½ hour. Taste and adjust the salt and pepper to your liking. Add more wine if too dry. Cook uncover for another 30 minutes.",11
5,Remove the bay leaves before serving.,11
0,Rinse the pea sprouts and place on serving plate.,12
1,Rinse tomatoes and cut off both ends. Slice the tomatoes thickly and place on the pea sprouts.,12
2,Top with chopped onions and drizzle both the salad dressings. Serve chilled!,12
0,Clean the eggplants and remove the skin and the top core.,13
1,Cut the eggplant lengthwise making sure to keep the same thickness,13
2,Place the cut slices over a cutting board and cover with salt within each layer,13
3,Place over another cutting board and make sure it is in the sink slightly tilted so all the bitter juice will drain off.,13
4,"While the eggplants are resting start the tomato sauce. Peel the garlic and place in a pan with a glass size of oil. Golden the garlic, squeeze it and toss it.",13
5,"Add the tomatoes. If using fresh, then cook for a few minutes in hot water, then peel them, cut in half, remove seeds and cut them in fillets. If using canned, give it a few turns in the blender. Add salt and pepper and the basil. Cook at low heat for 5 minutes and then remove the basil.",13
6,"When the eggplant are ready to fry, dry them with paper towel and fry 3-4 slices at the time with plenty of hot oil (not smoking or they will burn).When golden remove and place on paper towel.",13
7,"When tomatoes sauce and eggplant are ready, start putting together the parmigiana. In an oven proof pan add a layer of tomatoes sauce, cover with eggplant slices next to each other.",13
8,"Cover lightly the eggplants with tomatoes sauce, a rich layer of parmesan cheese. In top of the parmesan add the mozzarella thinly sliced. Add a small amount of salt over it.",13
9,"Make another layer of eggplants, tomatoes, cheese as above. End with eggplants covered with tomatoes sauce",13
