Id,Title,Link,Author,Steps,Portions,Users
1,Ricotta Meatballs,https://www.foodista.com/recipe/FKR4B5H2/ricotta-meatballs,Giangi Townsend,"0,1,2,3,4,5,6,7","1,2,3,4,5,6,7,8,9,10,11,12,13,14",
2,"Vegan Noodles with Tomato, Spinach and Walnuts",https://www.foodista.com/recipe/DC6HY82H/vegan-noodles-with-tomato-spinach-and-walnuts,Matt,"0,1,2,3","15,16,17,18,19,20,21,22,23,24,25",Ada Lovelace
3,Pancetta and asparagus pasta,https://www.foodista.com/recipe/QTSTCCSV/pancetta-and-asparagus-pasta,Easy cook - Laka kuharica,"0,1,2,3,4","26,27,28,29,30",
4,"Avocado, Mozzarella and Tomaotes with Vinaigrette",https://www.foodista.com/recipe/TQ2TT2ZV/avocado-mozzarella-and-tomaotes-with-vinaigrette,Giangi Townsend,0,"31,32,33,34,35,36,37","Ada Lovelace,Abe Lincoln"
5,Salsa Verde with Salmon,https://www.foodista.com/recipe/T7GKRMG3/salsa-verde-with-salmon,Giangi Townsend,"0,1,2,3,4","38,39,40,41,42,43,44,45",
6,Easy Chicken Recipe: Spicy Honey Glazed Chicken,https://www.foodista.com/blog/2013/08/27/easy-chicken-recipe-spicy-honey-glazed-chicken,Rosemina Nazarali,,"221,222,223,224,225,226,227,228,229",
7,Stove Top Macaroni and Cheese,https://www.foodista.com/recipe/QNCB2K68/stove-top-macaroni-and-cheese,Giangi Townsend,"0,1,2,3","46,47,48,49,50,51,52,53,54,55,56",Ada Lovelace
8,Homemade Marble Pound Cake ,https://www.foodista.com/recipe/68V3RN8C/homemade-marble-pound-cake,Nicole Johnson,"0,1,2,3,4","57,58,59,60,61,62,63,64",
9,CHEDDAR DUCHESS POTATOES,https://www.foodista.com/recipe/PNSKFW64/cheddar-duchess-potatoes,Nicole Johnson,"0,1,2,3,4,5","65,66,67,68,69,70,71,72,73,74,75",
10,INSTANT POT CHICKEN SOUP,https://www.foodista.com/recipe/VF7M4JS4/instant-pot-chicken-soup,Nicole Johnson,"0,1,2,3,4,5","76,77,78,79,80,81,82,83,84,85,86",
11,Ragu Bolognese - Giangi's Style,https://www.foodista.com/recipe/BT73VMDL/ragu-bolognese-giangi-s-style,Giangi Townsend,"0,1,2,3,4,5","87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,97",
12,Crunchy Tomato Salad with Pea Sprouts,https://www.foodista.com/recipe/YD3P64KD/crunchy-tomato-salad-with-pea-sprouts,Blackswan,"0,1,2","103,104,105,106,107",Ada Lovelace
13,Eggplant Parmigiana Giangi's Style,https://www.foodista.com/recipe/MSK6KD56/eggplant-parmigiana-giangi-s-style,Giangi Townsend,"0,1,2,3,4,5,6,7,8,9,10,11,12","108,109,110,111,112,113,114,115",
14,Salmon Fillets with Baby Greens ,https://www.foodista.com/recipe/TFHFH8FV/salmon-fillets-with-baby-greens,Giangi Townsend,"0,1,2,3,4,5,6","116,117,118,119,120,121,122,123,124,125,126",
15,Roasted Baby Beets with Salad and Feta Cheese,https://www.foodista.com/recipe/FQD8HS7R/roasted-baby-beets-with-salad-and-feta-cheese,Giangi Townsend,"0,1,2,3","127,128,129,130,131,132",
16,PAN FRIED POTATO WEDGES,https://www.foodista.com/recipe/ZMHYGRRP/pan-fried-potato-wedges,Nicole Johnson,"0,1,2","133,134,138,135,136,137",
17,Baked Chicken Wings With Blue Cheese Dip,https://www.foodista.com/recipe/4JYBHVZS/baked-chicken-wings-with-blue-cheese-dip,Simmer + Sauce,"0,1,2,3,4,5,6,7,8","139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160",
18,Healthy Mini Chicken Burgers,https://www.foodista.com/recipe/DZ53KSCW/healthy-mini-chicken-burgers,Blackswan,"0,1,2,3,4,5,6","161,162,163,164,165,166,167,168,169,170,171,172,173",
19,EASY GROUND BEEF STROGANOFF RECIPE,https://www.foodista.com/recipe/YKVCYM7B/easy-ground-beef-stroganoff-recipe,Nicole Johnson,"0,1,2,3,4,5","174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189",
20,"Salmon with Peas, Potatoes and Mint",https://www.foodista.com/recipe/ZYCHT4G4/salmon-with-peas-potatoes-and-mint,Giangi Townsend,"0,1,2,3,4,5,6","190,191,192,193,194,195,196,197,198,199,200",
21,Strawberry Apple Pie,https://www.foodista.com/recipe/5VT48MZD/strawberry-apple-pie,Giangi Townsend,"0,1,2,3,4,5,6","201,202,203,204,205,206,207",
22,Pork Shoulder Stew,https://www.foodista.com/recipe/BW2NLPMS/pork-shoulder-stew,Giangi Townsend,"0,1,2,3,4","208,209,210,211,212,213,214,215,216,217,218,219,220",
23,Mexican Mince,,Stockcubes Member,"1,2,3,4,5,6","230,231,232,233,234,235,236,237,238",
24,Roast Chicken,,Stockcubes Member,"1,2,3,4","239,240,241",
25,Spaghetti Bolognese,,Stockcubes Member,"1,2,3,4,5,6","242,243,244,245,246,247,248,249,250",
26,Gluten Free Sticky Toffee Pudding,,Stockcubes Member,"1,2,3,4,5,6","251,252,253,254,255,256,257,258,259,260,261",
